Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Octopus,Feeding,Feeding,Hermit crabs,STATE,0.000,1800.799,1800.799,,
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Octopus,Under Refuge,Evasion,,STATE,0.000,1800.799,1800.799,,
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Octopus,Stationary,,Alert Sitting,STATE,0.000,1800.799,1800.799,,
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Clam1,Stationary,,Unknown,STATE,0.000,1800.799,1800.799,,
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Clam1,Vicinity,,,STATE,0.000,1800.799,1800.799,,
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Clam2,Stationary,,Unknown,STATE,0.000,1800.799,1800.799,,
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Clam2,Vicinity,,,STATE,0.000,1800.799,1800.799,,
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Clam3,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Hermit Crab1,Vicinity,,,STATE,0.000,217.372,217.372,,
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Hermit Crab2,Stationary,,Unknown,STATE,0.000,41.458,41.458,,
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Hermit Crab2,Vicinity,,,STATE,0.000,370.272,370.272,,
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Hermit Crab3,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Haliai S1440006,2022-07-07 13:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1440006.MP4,1800.800,29.97,pre,1,crepuscular,yes,Snail1,Burrow,Evasion,,STATE,0.000,1800.799,1800.799,,
