,Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop,ind,obs,date,time,rtime
1,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Octopus,Under Refuge,Evasion,NA,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
2,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Octopus,Stationary,NA,Unknown,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
3,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Clam1,Unobservable,NA,NA,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
4,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Clam2,Unobservable,NA,NA,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
5,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Clam3,Unobservable,NA,NA,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
6,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Hermit Crab1,Unobservable,NA,NA,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
7,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Hermit Crab2,Unobservable,NA,NA,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
8,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Hermit Crab3,Unobservable,NA,NA,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
9,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Snail1,Climb,Evasion,NA,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
10,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Snail1,Roaming,NA,Within 1/2 tank L,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
11,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Snail1,Vicinity,NA,NA,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
12,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Snail2,Unobservable,NA,NA,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
13,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Snail3,Unobservable,NA,NA,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
14,Haliai S1430011,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/S1430011.MP4,1800.8,29.97,pre,1,day,no,Swim Crab1,Unobservable,NA,NA,STATE,0,1800.799,1800.799,NA,NA,Haliai,S1430011,7/7/22,9:39:00,9:39:00
